customer_id,name,email,city,country,signup_date
C001,Ahmad Fadillah,ahmad@example.com,Jakarta,Indonesia,2025-01-10
C002,Budi Santoso,budi@example.com,Surabaya,Indonesia,2025-02-14
C003,Citra Dewi,citra@example.com,Bandung,Indonesia,2025-03-01
C004,David Tan,david@example.com,Singapore,Singapore,2025-01-20
C005,Elena Rostova,elena@example.com,Kuala Lumpur,Malaysia,2025-04-12
C006,Fajar Nugraha,fajar@example.com,Yogyakarta,Indonesia,2025-04-18
C007,Grace Hopper,grace@example.com,New York,United States,2025-05-02
C008,Hadi Wijaya,hadi@example.com,Medan,Indonesia,2025-05-15
C009,Indah Permata,indah@example.com,Semarang,Indonesia,2025-06-01
C010,Johnathan Doe,john@example.com,London,United Kingdom,2025-06-11
